Month-Year,Sales Revenue (₹),Service Fees (₹),Rent (₹),Utilities (₹),Salaries & Wages (₹),Raw Materials / Inventory (₹),Transportation / Logistics (₹),Loan Repayments & Interest (₹),Number of Orders,Customers,Average Order Value,Seasonality_Flag,Fuel Price Index,Total Income (₹),Total Expenses (₹),Net Cash Flow (₹)
2010-01,115841,44925,35802,11484,172267,167314,28048,31724,3247,3714,47.96,0,147.09,160766,446639,-285873
2010-02,442813,12011,30418,5675,90967,112206,16264,39003,1429,2184,253.56,0,112.71,454824,294533,160291
2010-03,238107,19990,28847,14722,133778,130140,27715,29995,3513,2427,60.37,1,102.72,258097,365197,-107100
2010-04,448831,33591,32135,5686,99071,81610,9897,8385,950,664,482.06,1,122.83,482422,236784,245638
2010-05,490683,42476,24191,8616,107790,109806,15783,34152,2247,916,211.96,0,80.6,533159,300338,232821
2010-06,255542,42764,36753,8269,117746,227737,19876,39365,2367,638,74.35,0,91.93,298306,449746,-151440
2010-07,338390,44455,33506,13966,187294,248496,25569,21370,2945,623,164.54,0,116.52,382845,530201,-147356
2010-08,230891,20063,33310,13575,105229,235532,24461,17237,1902,2505,112.87,1,133.31,250954,429344,-178390
2010-09,495535,20186,29854,6957,141525,64048,18023,16106,1715,2706,358.53,1,94.49,515721,276513,239208
2010-10,479237,27307,46925,14153,179573,93458,13191,11288,3089,3687,209.36,1,137.65,506544,358588,147956
2010-11,182550,16746,48873,14083,101563,127083,20826,5945,4444,1960,-6.85,0,84.65,199296,318373,-119077
2010-12,112327,22156,47304,12623,167965,206009,29306,19874,4710,1153,44.33,1,121.06,134483,483081,-348598
2011-01,392664,12071,24797,6573,155102,58222,26681,29069,2418,1994,175.39,0,90.12,404735,300444,104291
2011-02,369731,24292,23691,8359,187981,244390,10363,5480,3314,1193,133.96,0,135.11,394023,480264,-86241
2011-03,245838,36793,23718,8700,146595,86946,26895,9061,2315,687,124.88,1,149.26,282631,301915,-19284
2011-04,298220,19812,41539,8389,81121,215015,26626,11524,3942,799,49.63,1,134.23,318032,384214,-66182
2011-05,316783,15535,30270,5518,194333,122722,12767,14610,1780,1254,176.66,0,137.48,332318,380220,-47902
2011-06,454917,46435,39184,12012,97319,152905,21469,23707,4140,3617,168.22,0,113.97,501352,346596,154756
2011-07,199290,48187,22357,8070,92711,181498,17462,13486,2731,2734,105.36,0,137.34,247477,335584,-88107
2011-08,449069,16574,49822,10549,168572,235100,24690,12470,3244,3797,96.15,1,147.22,465643,501203,-35560
2011-09,496490,43699,34218,14407,172666,212430,21969,37539,1679,2622,281.5,1,90.11,540189,493229,46960
2011-10,220588,21280,33853,10401,91149,200435,7150,16298,815,3674,321.34,1,96.75,241868,359286,-117418
2011-11,488869,46005,45138,5552,94796,125122,19708,20734,1158,3454,449.37,0,131.65,534874,311050,223824
2011-12,102685,26530,28696,9059,101049,244197,20626,22723,4690,3831,-78.03,1,140.36,129215,426350,-297135
2012-01,344161,17532,43586,14513,192901,185529,18824,23404,1005,2528,317.36,0,119.95,361693,478757,-117064
2012-02,435238,39636,29467,9629,170772,246705,27263,31242,4344,1289,76.57,0,146.29,474874,515078,-40204
2012-03,468886,23328,29047,11150,88421,68480,7319,24927,2907,3014,172.46,1,99.08,492214,229344,262870
2012-04,182691,24390,49647,7829,139264,210556,8718,24506,3348,576,-27.18,1,140.73,207081,440520,-233439
2012-05,244002,29081,32920,14517,170872,244534,13046,33000,3818,1049,136.86,0,136.45,273083,508889,-235806
2012-06,313208,23222,24940,14536,95229,210122,28183,18873,4888,1041,14.08,0,80.49,336430,391883,-55453
2012-07,149413,23040,37183,6443,101420,112486,10143,36429,3962,2737,58.16,0,111.02,172453,304104,-131651
2012-08,163868,38966,20887,12237,144957,180913,10308,28321,564,2790,387.57,1,129.37,202834,397623,-194789
2012-09,350891,48696,30961,12037,84975,139183,29244,11436,4759,3162,37.92,1,102.18,399587,307836,91751
2012-10,135468,41114,44227,8671,167482,104045,13329,12913,1884,1425,108.12,1,143.79,176582,350667,-174085
2012-11,236926,35410,36263,6180,128080,121381,19653,6318,2502,357,179.51,0,83.74,272336,317875,-45539
2012-12,434935,40484,43452,7006,179436,96505,29577,19684,1620,553,305.99,1,99.1,475419,375660,99759
2013-01,237735,10239,32294,10009,154002,115830,28508,10945,4374,2103,80.26,0,87.1,247974,351588,-103614
2013-02,159268,10301,33433,11654,165710,176510,13223,25420,2720,1316,-6.63,0,125.83,169569,425950,-256381
2013-03,193219,33323,48937,5967,179126,120731,13437,20132,1359,2432,73.05,1,125.57,226542,388330,-161788
2013-04,363212,27662,23005,7759,164634,121366,22251,7532,2848,3354,121.86,1,96.16,390874,346547,44327
2013-05,210773,28628,37633,8375,190883,243071,19744,21827,1072,1650,260.35,0,123.89,239401,521533,-282132
2013-06,298125,25522,48919,11470,81707,70663,16580,33658,907,914,368.93,0,87.51,323647,262997,60650
2013-07,145045,46177,34738,9701,97053,171714,24738,15276,4020,1625,30.59,0,146.85,191222,353220,-161998
2013-08,205037,18351,38222,6148,174075,73077,19843,39287,2407,2536,96.95,1,98.58,223388,350652,-127264
2013-09,151195,32594,45785,10270,100142,230433,10049,30905,1071,1498,74.66,1,116.72,183789,427584,-243795
2013-10,232681,48125,48975,7758,106947,101068,6299,31798,751,2736,301.82,1,91.8,280806,302845,-22039
2013-11,364765,11306,42429,11807,186115,196141,10353,22639,928,3899,403.51,0,89.36,376071,469484,-93413
2013-12,113497,36417,23298,8601,157487,98360,15828,31200,2674,3101,88.45,1,149.06,149914,334774,-184860
2014-01,230918,42681,42313,12161,166493,58688,16516,17444,4925,1614,100.07,0,119.52,273599,313615,-40016
2014-02,452612,12953,44269,5792,182050,249940,10008,10864,2056,1223,301.97,0,113.11,465565,502923,-37358
2014-03,131156,48092,43494,14925,131313,99867,26149,21527,3814,1187,10.46,1,83.18,179248,337275,-158027
2014-04,211556,16398,30012,11532,145010,119195,25817,7313,4216,3865,61.8,1,114.33,227954,338879,-110925
2014-05,173224,34471,31127,11894,186944,99989,13910,29269,3157,2860,-11.97,0,95.85,207695,373133,-165438
2014-06,127389,15751,46334,11880,105371,240517,24363,30434,1917,2224,50.47,0,88.02,143140,458899,-315759
2014-07,275552,24862,35860,6946,114600,53550,17219,26221,2119,3578,111.25,0,136.07,300414,254396,46018
2014-08,339416,40802,40493,14136,150745,85601,18846,7022,2682,1845,134.27,1,147.56,380218,316843,63375
2014-09,356197,24156,45874,10382,88943,55050,29241,6055,4042,1829,12.88,1,99.76,380353,235545,144808
2014-10,169946,29981,22530,10674,80829,240444,22991,12506,2784,1781,10.44,1,112.23,199927,389974,-190047
2014-11,131848,42946,36492,14715,150662,179655,14802,19478,3895,2347,21.45,0,149.23,174794,415804,-241010
2014-12,487019,38012,44517,6231,89497,101432,20024,36178,4621,1236,112.64,1,134.98,525031,297879,227152
2015-01,136026,10129,45016,8414,190278,109883,7305,16717,1083,2191,206.45,0,112.05,146155,377613,-231458
2015-02,124266,36133,34997,13158,182549,58104,25022,36624,1902,1737,86.35,0,101.29,160399,350454,-190055
2015-03,386334,17135,30356,14438,81949,206686,18250,27136,2375,1413,129.96,1,132.21,403469,378815,24654
2015-04,307672,30502,40577,12593,97443,193987,26627,15778,1456,3287,201.18,1,113.21,338174,387005,-48831
2015-05,220112,19647,41801,6685,193591,84271,29973,31541,3299,1410,108.34,0,114.67,239759,387862,-148103
2015-06,331121,30240,35176,12921,196415,210759,21587,9879,3612,3116,8.86,0,120.5,361361,486737,-125376
2015-07,495380,18601,32658,8702,182645,215052,21917,10810,1333,2942,228.65,0,86.34,513981,471784,42197
2015-08,482673,12821,39372,8201,134037,224362,28083,14406,2471,2665,77.57,1,145.26,495494,448461,47033
2015-09,346906,47820,49948,9933,107626,89210,24511,35947,4124,2135,127.35,1,110.06,394726,317175,77551
2015-10,151836,33557,38208,8119,89092,68349,20654,10646,4596,1858,17.96,1,149.83,185393,235068,-49675
2015-11,232705,44107,38357,12702,87955,243342,24046,19400,1708,2758,142.74,0,80.69,276812,425802,-148990
2015-12,203761,28815,29944,9154,142035,163005,11408,20289,3071,2801,18.5,1,132.81,232576,375835,-143259
2016-01,232877,32540,48928,13868,138335,192465,11771,19638,4087,560,127.64,0,103.39,265417,425005,-159588
2016-02,286374,17471,48945,13399,193513,248233,10606,9735,1067,1706,346.02,0,114.01,303845,524431,-220586
2016-03,191987,22902,40274,5685,157326,243351,23465,7010,2540,482,100.82,1,103.03,214889,477111,-262222
2016-04,122770,30432,36273,12964,125205,146885,15654,31592,1705,1497,53.33,1,95.73,153202,368573,-215371
2016-05,317152,11556,38208,12176,93040,112078,17696,31449,4931,1783,106.61,0,120.21,328708,304647,24061
2016-06,404838,46715,32592,8410,106367,126956,26876,37871,4463,2625,125.48,0,120.26,451553,339072,112481
2016-07,423904,38356,27380,10802,110403,222600,16302,35923,2487,2312,170.69,0,83.87,462260,423410,38850
2016-08,188393,48423,48353,10591,122883,123553,8799,36141,4593,1763,4.13,1,137.65,236816,350320,-113504
2016-09,324884,29834,49486,6442,159594,81984,22090,32312,1991,1366,143.2,1,102.7,354718,351908,2810
2016-10,297857,35796,35715,9633,119209,237716,27648,34904,2307,1521,64.41,1,109.65,333653,464825,-131172
2016-11,152427,35595,42416,10045,184540,210561,7396,29886,2040,819,175.41,0,120.67,188022,484844,-296822
2016-12,421583,40049,24311,5839,134433,237983,10828,36724,4430,3662,122.72,1,96.21,461632,450118,11514
2017-01,451909,46129,44308,14310,158289,63564,24435,25143,788,1652,573.9,0,128.44,498038,330049,167989
