Month-Year,Sales Revenue (₹),Service Fees (₹),Rent (₹),Utilities (₹),Salaries & Wages (₹),Raw Materials / Inventory (₹),Transportation / Logistics (₹),Loan Repayments & Interest (₹),Number of Orders,Customers,Average Order Value,Seasonality_Flag,Fuel Price Index,Total Income (₹),Total Expenses (₹),Net Cash Flow (₹)
2010-01,197235,12369,30067,9207,130669,51029,12162,27554,850,3817,264.67,0,127.23,209604,260688,-51084
2010-02,296286,24314,47271,6646,132843,191257,9870,6773,4755,3432,118.75,0,106.81,320600,394660,-74060
2010-03,117386,40209,37084,13459,163094,74235,5735,32609,4093,1902,3.99,1,136.97,157595,326216,-168621
2010-04,423569,38472,37717,5988,153623,63189,9828,7714,4860,1207,123.98,1,132.09,462041,278059,183982
2010-05,186912,40488,34833,10586,142306,90172,14299,30128,2125,564,203.18,0,99.17,227400,322324,-94924
2010-06,303671,37947,26738,14717,95948,152211,15561,19222,4673,2847,13.68,0,118.23,341618,324397,17221
2010-07,411748,29093,30439,8902,118133,68439,21372,24889,3808,684,137.05,0,131.1,440841,272174,168667
2010-08,102208,16206,34913,9087,195143,158477,26107,37406,4472,3104,8.84,1,97.32,118414,461133,-342719
2010-09,183163,39978,43553,13473,160735,230805,17577,17907,806,1917,242.32,1,146.6,223141,484050,-260909
2010-10,463214,38547,25977,14459,135137,90458,27600,17258,4758,3606,98.29,1,120.63,501761,310889,190872
2010-11,365344,23754,31930,7755,122978,114372,6413,34149,2372,1374,135.32,0,104.99,389098,317597,71501
2010-12,145267,41585,47723,8316,101274,101301,28742,10309,4091,483,129.2,1,107.8,186852,297665,-110813
2011-01,303569,23184,38942,11325,140589,161553,26374,10651,4671,332,131.94,0,129.03,326753,389434,-62681
2011-02,247192,13728,25340,6643,169009,58440,12062,16626,3258,2314,44.39,0,105.55,260920,288120,-27200
2011-03,229816,14688,45821,13416,195098,124792,15969,14632,785,1329,270.53,1,91.25,244504,409728,-165224
2011-04,368906,24873,45490,9941,177857,235473,16713,17792,4753,2146,127.43,1,127.78,393779,503266,-109487
2011-05,126551,39747,34893,13957,176198,191340,13463,39895,1095,3397,103.38,0,137.87,166298,469746,-303448
2011-06,420997,34002,29393,12459,132229,233460,29322,31107,1838,838,225.66,0,135.57,454999,467970,-12971
2011-07,262887,41527,27067,8759,132793,203918,28717,34510,2241,2101,109.62,0,99.43,304414,435764,-131350
2011-08,314272,25258,30285,14738,136885,122424,25512,39736,3561,499,51.12,1,146.4,339530,369580,-30050
2011-09,428635,16038,39058,5015,121573,135571,6892,39526,4835,830,53.13,1,86.87,444673,347635,97038
2011-10,112348,13121,43599,7357,160798,206533,7030,29750,4841,3302,10.24,1,137.07,125469,455067,-329598
2011-11,147414,33235,41088,10583,130799,183380,14101,33441,3414,511,79.95,0,130.57,180649,413392,-232743
2011-12,269295,21436,32819,6034,106735,142435,20069,14590,4459,824,31.4,1,115.49,290731,322682,-31951
2012-01,488381,10707,26912,7014,82018,100907,26973,36814,528,521,892.77,0,98.38,499088,280638,218450
2012-02,281490,36921,38542,7949,138422,205258,24723,25944,3214,3929,55.54,0,134.42,318411,440838,-122427
2012-03,481532,16546,43259,8959,117157,141678,21040,5678,1672,3268,317.9,1,134.55,498078,337771,160307
2012-04,220702,30340,43298,14293,196228,128898,5879,18361,2003,2549,149.9,1,139.88,251042,406957,-155915
2012-05,208402,21735,38039,14203,171843,160436,28304,13226,3213,1142,40.76,0,147.36,230137,426051,-195914
2012-06,215105,13855,42342,13339,195477,63346,11144,34838,1006,699,237.78,0,85.44,228960,360486,-131526
2012-07,250610,12079,49427,7682,152371,137716,12679,38034,4421,1049,116.31,0,102.75,262689,397909,-135220
2012-08,403188,39757,41323,14871,116937,85444,11914,31292,755,3809,618.07,1,140.42,442945,301781,141164
2012-09,336477,29679,26435,5001,103757,189300,22126,6456,2388,3998,249.45,1,116.73,366156,353075,13081
2012-10,472463,18738,47859,6484,162390,216670,29141,26781,1500,3323,300.35,1,95.79,491201,489325,1876
2012-11,490578,42847,23300,12058,160928,197486,28948,35993,2390,3723,188.5,0,135.34,533425,458713,74712
2012-12,395324,46375,23223,7542,192940,162778,21499,15500,825,1772,581.83,1,139.72,441699,423482,18217
2013-01,314919,38509,36110,10347,86665,171852,11829,12664,2705,3234,146.11,0,144.61,353428,329467,23961
2013-02,476746,27437,44494,13612,92472,209282,19582,27010,4643,1579,100.51,0,130.81,504183,406452,97731
2013-03,376514,45787,46187,14413,150375,244552,18003,21450,2584,2052,111.64,1,113.02,422301,494980,-72679
2013-04,343832,45142,37700,12526,195590,73516,15424,10063,4584,2329,35.96,1,132.87,388974,344819,44155
2013-05,162000,20127,38551,11261,180683,144040,13663,34074,1671,1298,108.1,0,118.28,182127,422272,-240145
2013-06,251416,11768,33916,7408,179508,106514,27921,31519,4003,3766,76.63,0,89.14,263184,386786,-123602
2013-07,211204,13826,24884,5750,199665,83370,5565,7020,3984,2263,52.26,0,118.38,225030,326254,-101224
2013-08,414546,34711,42795,7540,144251,66832,9670,9051,4129,545,95.13,1,136.28,449257,280139,169118
2013-09,173836,43086,43280,10558,124934,157974,17389,25526,1384,631,142.38,1,146.17,216922,379661,-162739
2013-10,135385,11178,36495,11192,199843,163768,8020,28836,2536,3088,-36.16,1,111.1,146563,448154,-301591
2013-11,187468,42777,26642,11537,126559,216859,14109,31772,1575,1057,86.15,0,138.78,230245,427478,-197233
2013-12,336128,23175,39518,14839,160250,172040,21388,30221,1972,2900,129.25,1,120.95,359303,438256,-78953
2014-01,329396,39744,29383,10350,113085,223066,7909,39078,4443,650,89.39,0,144.4,369140,422871,-53731
2014-02,183420,44372,21353,11190,180690,64311,7051,13272,4433,372,13.97,0,115.99,227792,297867,-70075
2014-03,365472,31551,45240,9033,97399,104141,13372,30290,2617,2014,136.96,1,96.84,397023,299475,97548
2014-04,434868,36568,28134,8924,82855,168683,20510,30856,2497,483,165.48,1,148.84,471436,339962,131474
2014-05,314509,25109,29035,12573,125260,197234,10714,19958,4730,2067,55.74,0,101.75,339618,394774,-55156
2014-06,350306,44176,38464,7034,168866,216850,25698,34026,1668,1756,306.22,0,93.58,394482,490938,-96456
2014-07,408731,24651,47014,11440,138706,79529,7540,8066,3444,1792,102.87,0,84.6,433382,292295,141087
2014-08,377929,39865,38757,9296,80309,167087,24446,22925,4438,1110,143.71,1,111.88,417794,342820,74974
2014-09,439301,44831,43792,6374,142098,64568,22606,39983,2830,2637,152.53,1,91.2,484132,319421,164711
2014-10,174445,48148,28852,11496,169539,187579,15115,29030,2284,615,95.46,1,105.37,222593,441611,-219018
2014-11,433880,43741,22123,13310,163776,142767,28820,12841,3450,2390,173.31,0,135.62,477621,383637,93984
2014-12,349302,35705,42882,8418,181574,143263,9781,39886,4300,1814,188.04,1,120.43,385007,425804,-40797
2015-01,290307,33331,49295,7023,120561,201676,16056,7946,4387,3207,40.32,0,105.77,323638,402557,-78919
2015-02,242047,46100,33711,7070,195224,59217,10067,18259,4860,2427,19.39,0,100.66,288147,323548,-35401
2015-03,417840,25640,23031,6588,136715,185234,20588,13138,4778,1095,126.44,1,83.0,443480,385294,58186
2015-04,499364,24879,28518,14624,153927,76105,6961,38672,1516,1462,326.94,1,106.52,524243,318807,205436
2015-05,270119,33757,49781,6515,141325,97208,5919,27941,4578,421,43.01,0,86.23,303876,328689,-24813
2015-06,497288,16003,49793,9410,92410,91846,5833,35828,2287,2614,170.15,0,99.65,513291,285120,228171
2015-07,317719,26879,25245,12082,130918,243931,26781,6547,4168,2432,80.74,0,93.1,344598,445504,-100906
2015-08,223812,47799,45292,13544,147100,157138,20680,27710,1049,3801,181.51,1,92.2,271611,411464,-139853
2015-09,247151,19191,44239,5904,137057,167022,6830,12696,3806,355,87.04,1,146.21,266342,373748,-107406
2015-10,171845,12300,25441,13716,126533,221583,26514,37913,4544,2316,72.82,1,149.97,184145,451700,-267555
2015-11,490997,44870,34111,7900,179838,164791,10347,23973,4263,1706,117.81,0,129.1,535867,420960,114907
2015-12,368040,45663,23217,13930,177062,75904,18263,14529,1938,2731,151.13,1,83.46,413703,322905,90798
2016-01,114403,22151,42277,14956,104693,173731,12446,8665,4430,2766,-37.57,0,111.32,136554,356768,-220214
2016-02,110610,15923,47186,8797,133598,187452,25896,10539,2329,2980,47.51,0,115.27,126533,413468,-286935
2016-03,459722,40898,38809,8851,115907,156231,28703,32324,3001,3613,125.97,1,128.87,500620,380825,119795
2016-04,415812,41476,36268,14956,142802,112988,16030,16162,944,2077,453.27,1,125.21,457288,339206,118082
2016-05,252186,45822,28836,9842,129027,103377,11372,12190,4345,971,13.03,0,92.47,298008,294644,3364
2016-06,451941,12626,30872,7063,147674,88912,27118,37954,4647,384,80.57,0,85.53,464567,339593,124974
2016-07,468271,13728,34580,8430,85162,246432,28882,36559,3438,3954,147.78,0,116.98,481999,440045,41954
2016-08,186269,49183,35567,12241,104989,75936,15756,9958,1559,1036,122.82,1,105.75,235452,254447,-18995
2016-09,360434,19197,34527,12912,194733,61188,23011,14587,2864,3201,84.4,1,131.63,379631,340958,38673
2016-10,319430,29976,27282,9261,140052,181568,27248,28177,3567,3449,74.73,1,114.73,349406,413588,-64182
2016-11,423519,32260,44938,7497,180379,235537,6476,25343,3715,1705,159.13,0,145.05,455779,500170,-44391
2016-12,277948,47297,23206,7895,128080,224524,19403,26243,1956,3726,175.3,1,96.37,325245,429351,-104106
2017-01,296561,44166,49549,13064,195742,107712,29356,32201,3831,3244,-29.96,0,88.69,340727,427624,-86897
2017-02,432946,12374,20098,10697,136144,97288,12064,12246,1447,3966,271.95,0,139.79,445320,288537,156783
2017-03,315829,12735,26668,11721,116711,138410,5425,11210,2061,2366,172.86,1,92.16,328564,310145,18419
2017-04,447184,39318,35375,7954,149736,181266,12470,26145,4197,1006,57.73,1,130.61,486502,412946,73556
2017-05,382162,15574,40649,6645,112682,76474,25197,21918,1744,1242,256.96,0,137.18,397736,283565,114171
2017-06,243691,23584,27033,5994,118190,221963,6414,15009,3193,2167,14.92,0,148.25,267275,394603,-127328
2017-07,177276,20104,24272,12332,91929,63796,9833,18858,4079,2915,24.52,0,96.14,197380,221020,-23640
2017-08,276790,30927,23073,12169,177239,90146,20434,28129,1676,3026,106.13,1,145.63,307717,351190,-43473
2017-09,441524,27577,24762,8945,181977,53630,14728,7227,811,1223,558.07,1,83.54,469101,291269,177832
2017-10,226833,48181,36391,11102,168492,83996,10011,14862,4849,2856,55.02,1,132.51,275014,324854,-49840
2017-11,106448,26655,44956,5736,185860,214555,26112,37650,4574,1254,20.42,0,100.18,133103,514869,-381766
2017-12,441374,29649,49291,7678,134206,72415,18264,30307,1897,1275,318.27,1,111.51,471023,312161,158862
2018-01,389962,15782,24294,10602,160486,193533,19366,13596,2512,3496,9.75,0,145.15,405744,421877,-16133
2018-02,171244,23832,27034,8504,195657,112642,6362,23179,2443,2319,69.53,0,132.45,195076,373378,-178302
2018-03,337594,14594,36371,10783,151151,220592,16824,18481,2705,1764,188.06,1,81.99,352188,454202,-102014
2018-04,123118,37235,34572,9165,136287,72511,21859,7143,3911,997,-25.59,1,116.41,160353,281537,-121184
2018-05,385502,13435,34717,13480,128137,107196,19096,25704,3459,1566,59.5,0,147.86,398937,328330,70607
2018-06,260797,13891,24674,5441,124449,67363,15719,31735,3299,840,75.28,0,102.14,274688,269381,5307
2018-07,303859,22539,31825,8755,164085,135259,17129,36873,3663,1105,120.91,0,82.41,326398,393926,-67528
2018-08,122352,42223,21726,13325,89907,109847,20525,28557,2106,1384,19.69,1,142.48,164575,283887,-119312
2018-09,216873,33679,49736,5398,109959,84752,7666,5446,2712,3260,67.3,1,81.56,250552,262957,-12405
2018-10,459640,11126,26760,13471,90879,63078,24154,11228,3001,816,159.22,1,116.04,470766,229570,241196
2018-11,308964,22874,28107,13280,163192,68114,18867,20578,3352,363,13.44,0,129.81,331838,312138,19700
2018-12,274717,10048,30731,12443,171141,168890,6965,37534,4975,2390,18.12,1,117.29,284765,427704,-142939
2019-01,160696,21337,23862,13781,193992,95771,25958,14861,1275,338,138.04,0,91.26,182033,368225,-186192
2019-02,135561,31651,40083,14984,195532,68487,18206,28167,4130,3325,-42.97,0,117.36,167212,365459,-198247
2019-03,307732,31252,24649,13613,97740,244324,12685,24140,1929,1754,161.47,1,110.22,338984,417151,-78167
2019-04,289480,14721,44716,9161,108121,189383,13216,32061,1229,987,189.08,1,128.62,304201,396658,-92457
2019-05,491633,24617,20748,7119,87629,102495,25063,38699,3951,2159,75.91,0,108.65,516250,281753,234497
2019-06,448954,49019,29785,7760,120379,123961,24990,27882,2309,2650,209.5,0,148.49,497973,334757,163216
