Month-Year,Sales Revenue (₹),Service Fees (₹),Rent (₹),Utilities (₹),Salaries & Wages (₹),Raw Materials / Inventory (₹),Transportation / Logistics (₹),Loan Repayments & Interest (₹),Number of Orders,Customers,Average Order Value,Seasonality_Flag,Fuel Price Index,Total Income (₹),Total Expenses (₹),Net Cash Flow (₹)
2010-01,404344,39647,41056,6974,187597,80442,24820,35943,3319,2970,119.22,0,116.94,443991,376832,67159
2010-02,229800,23070,47087,5676,99728,190456,10962,33260,2659,3759,65.25,0,127.39,252870,387169,-134299
2010-03,311246,16966,21210,11004,158436,186049,8898,26051,4572,2547,110.47,1,91.14,328212,411648,-83436
2010-04,130081,24014,48779,10360,165802,225141,17683,20933,2330,2339,57.2,1,120.06,154095,488698,-334603
2010-05,455187,30362,39775,9725,93776,154901,22918,7812,1617,3665,199.93,0,81.59,485549,328907,156642
2010-06,325137,17097,39479,7397,156250,200081,21104,10005,2600,3744,93.49,0,140.61,342234,434316,-92082
2010-07,129387,11244,43167,8727,140195,198917,26416,10690,3555,1100,60.56,0,137.61,140631,428112,-287481
2010-08,489893,21416,43663,12226,186850,54470,23973,36729,1668,784,202.47,1,114.15,511309,357911,153398
2010-09,169281,17829,24470,9030,132524,174544,20396,22889,3618,2011,144.02,1,144.15,187110,383853,-196743
2010-10,178350,48588,23239,10432,127134,151040,25553,15623,3068,2824,124.4,1,149.22,226938,353021,-126083
2010-11,364911,42763,39150,8370,126655,101436,19968,31432,2961,2581,194.27,0,134.61,407674,327011,80663
2010-12,432136,19710,41874,10975,197283,243082,16065,38319,4995,1008,116.04,1,126.93,451846,547598,-95752
2011-01,270405,46909,45352,13808,121664,210501,23158,16614,609,3578,460.96,0,82.86,317314,431097,-113783
2011-02,466325,38931,24167,5187,131541,168854,9419,8843,4971,510,47.2,0,85.0,505256,348011,157245
2011-03,419111,10764,26813,9084,145746,225976,15288,24746,1642,3947,230.79,1,129.57,429875,447653,-17778
2011-04,471222,48138,23589,5103,145865,122262,20525,22815,1519,2739,259.53,1,145.41,519360,340159,179201
2011-05,474013,22958,37311,11159,134683,225323,24593,32450,3093,1554,62.76,0,88.01,496971,465519,31452
2011-06,384712,12293,27067,14759,159579,76865,11140,37784,4680,3900,77.23,0,121.14,397005,327194,69811
2011-07,167301,23811,39333,9944,173463,206656,15255,30513,1454,1647,173.02,0,116.04,191112,475164,-284052
2011-08,382191,35628,45437,11898,195820,92272,23428,25261,1633,3478,286.52,1,149.49,417819,394116,23703
2011-09,368314,24324,36946,8098,89485,83550,12632,21806,4688,2322,125.44,1,128.98,392638,252517,140121
2011-10,436669,24613,28171,7917,156447,57743,10353,37590,3857,3430,169.89,1,93.87,461282,298221,163061
2011-11,140601,28507,27805,8113,145121,136804,15719,8458,2175,1400,68.16,0,134.79,169108,342020,-172912
2011-12,401955,37504,30768,10423,109810,219234,23305,6441,1856,1308,147.34,1,119.18,439459,399981,39478
