Month-Year,Sales Revenue (₹),Service Fees (₹),Rent (₹),Utilities (₹),Salaries & Wages (₹),Raw Materials / Inventory (₹),Transportation / Logistics (₹),Loan Repayments & Interest (₹),Number of Orders,Customers,Average Order Value,Seasonality_Flag,Fuel Price Index,Total Income (₹),Total Expenses (₹),Net Cash Flow (₹)
2010-01,261701,28648,33629,7917,116666,191015,8669,14979,4139,1761,47.62,0,99.82,290349,372875,-82526
2010-02,494556,39103,22942,6921,189351,134688,11785,25744,3971,2155,97.08,0,129.51,533659,391431,142228
2010-03,315261,37942,39932,5848,106879,128673,24317,27503,4156,612,8.11,1,94.45,353203,333152,20051
2010-04,135521,38768,25318,10896,124381,148913,28668,31652,3474,530,-61.93,1,120.97,174289,369828,-195539
2010-05,421392,48093,37965,7358,87722,212745,29439,27613,3226,3875,163.69,0,120.97,469485,402842,66643
2010-06,227408,38978,36693,12391,146687,128989,14641,19801,3186,3124,123.42,0,146.76,266386,359202,-92816
2010-07,446695,37579,23832,7381,121758,161957,10559,13087,4889,1270,181.71,0,99.31,484274,338574,145700
2010-08,124234,35815,31557,11894,139070,112044,15289,39810,3222,1000,-4.02,1,143.74,160049,349664,-189615
2010-09,135416,12779,39508,7815,133631,124121,21307,35741,2250,1593,-16.26,1,110.47,148195,362123,-213928
2010-10,121108,39269,36838,7115,163984,192645,15101,11183,737,3452,171.44,1,84.98,160377,426866,-266489
2010-11,411894,33621,41227,12172,81380,154352,20457,25224,3912,916,159.68,0,86.74,445515,334812,110703
2010-12,482044,34372,26546,7737,189320,170386,24758,37362,1635,519,337.28,1,120.4,516416,456109,60307
2011-01,210049,20784,23859,9462,82257,74893,12684,5423,4500,2754,104.67,0,140.57,230833,208578,22255
2011-02,125202,40512,47542,7356,114422,169175,21617,22287,3964,317,34.11,0,123.24,165714,382399,-216685
2011-03,372420,17861,24268,7467,117740,170511,6741,27322,3223,2729,120.4,1,95.81,390281,354049,36232
2011-04,115404,38377,22647,14643,196369,81156,5260,23795,4636,1087,-31.15,1,125.6,153781,343870,-190089
2011-05,359888,25676,44066,11999,153559,121175,17241,10546,2266,2979,221.99,0,92.62,385564,358586,26978
2011-06,158015,34920,41239,7616,182712,109195,24300,32776,783,1536,216.64,0,102.49,192935,397838,-204903
2011-07,251228,41577,33697,5881,161407,126121,10068,18365,1158,2459,189.7,0,135.74,292805,355539,-62734
2011-08,493178,26286,38895,13552,118398,73196,7791,30280,2766,3679,251.7,1,80.43,519464,282112,237352
2011-09,119108,28252,29429,5321,95398,125267,22189,26055,2189,3809,90.75,1,137.52,147360,303659,-156299
2011-10,258911,30649,46568,8419,195258,234294,17326,34179,2034,1823,74.56,1,84.45,289560,536044,-246484
2011-11,220011,23311,28345,13447,183786,193918,16855,19888,3254,3867,115.35,0,110.54,243322,456239,-212917
2011-12,254046,33294,37612,7531,144671,57562,10999,23536,2679,2049,105.99,1,129.6,287340,281911,5429
2012-01,458585,21481,26883,14868,100475,195894,28553,18914,687,3045,717.31,0,101.04,480066,385587,94479
2012-02,411233,45034,25083,6671,125517,236226,13213,12460,3800,2059,99.58,0,99.52,456267,419170,37097
2012-03,124432,27295,40572,7686,177780,62479,19629,15399,1224,3794,111.47,1,133.45,151727,323545,-171818
2012-04,266048,26399,49388,12196,119313,212089,24703,37949,4858,3083,76.86,1,128.73,292447,455638,-163191
2012-05,195196,29991,42572,12458,91677,131381,8434,21782,1030,2205,160.83,0,113.43,225187,308304,-83117
